Strata,unique_id,LCC,Bgy_Name,Mun_Name,Pro_Name
2,248D2,Dipterocarp Forest Closed,San Pedro,MARIHATAG,SURIGAO DEL SUR
2,249B2,Dipterocarp Forest Closed,Manyayay,LIANGA,SURIGAO DEL SUR
2,249C2,Dipterocarp Forest Closed,Manyayay,LIANGA,SURIGAO DEL SUR
2,249D2,Dipterocarp Forest Closed,Manyayay,LIANGA,SURIGAO DEL SUR
2,250B2,Dipterocarp Forest Closed,Kalabuan,ESPERANZA,AGUSAN DEL SUR
2,250C2,Dipterocarp Forest Closed,Kalabuan,ESPERANZA,AGUSAN DEL SUR
2,250D2,Dipterocarp Forest Closed,Kalabuan,ESPERANZA,AGUSAN DEL SUR
2,251B2,Dipterocarp Forest Closed,Bayugan 3,ROSARIO,AGUSAN DEL SUR
2,251C2,Dipterocarp Forest Closed,Bayugan 3,ROSARIO,AGUSAN DEL SUR
2,251D2,Dipterocarp Forest Closed,Bayugan 3,ROSARIO,AGUSAN DEL SUR
2,252B2,Dipterocarp Forest Closed,Mampi,LANUZA,SURIGAO DEL SUR
2,252C2,Dipterocarp Forest Closed,Mampi,LANUZA,SURIGAO DEL SUR
2,252D2,Dipterocarp Forest Closed,Mampi,LANUZA,SURIGAO DEL SUR
2,253B2,Dipterocarp Forest Closed,Janipaan,SAN AGUSTIN,SURIGAO DEL SUR
2,253C2,Dipterocarp Forest Closed,Janipaan,SAN AGUSTIN,SURIGAO DEL SUR
2,253D2,Dipterocarp Forest Closed,Janipaan,SAN AGUSTIN,SURIGAO DEL SUR
2,254B2,Dipterocarp Forest Closed,General Aguinaldo (Bolod-bolod),LIBJO (ALBOR),DINAGAT ISLANDS
2,254C2,Dipterocarp Forest Closed,General Aguinaldo (Bolod-bolod),LIBJO (ALBOR),DINAGAT ISLANDS
2,254D2,Dipterocarp Forest Closed,General Aguinaldo (Bolod-bolod),LIBJO (ALBOR),DINAGAT ISLANDS
2,255B2,Dipterocarp Forest Closed,Padiay,SIBAGAT,AGUSAN DEL SUR
2,255C2,Dipterocarp Forest Closed,Padiay,SIBAGAT,AGUSAN DEL SUR
2,255D2,Dipterocarp Forest Closed,Padiay,SIBAGAT,AGUSAN DEL SUR
2,256B2,Dipterocarp Forest Closed,Ima,SISON,SURIGAO DEL NORTE
2,256C2,Dipterocarp Forest Closed,Ima,SISON,SURIGAO DEL NORTE
2,256D2,Dipterocarp Forest Closed,Ima,SISON,SURIGAO DEL NORTE
2,257B2,Dipterocarp Forest Closed,Imelda,TUBAJON,DINAGAT ISLANDS
2,257C2,Dipterocarp Forest Closed,Imelda,TUBAJON,DINAGAT ISLANDS
2,257D2,Dipterocarp Forest Closed,Imelda,TUBAJON,DINAGAT ISLANDS
2,258B2,Dipterocarp Forest Closed,Bayugan 3,ROSARIO,AGUSAN DEL SUR
2,258C2,Dipterocarp Forest Closed,Bayugan 3,ROSARIO,AGUSAN DEL SUR
2,258D2,Dipterocarp Forest Closed,Bayugan 3,ROSARIO,AGUSAN DEL SUR
2,259B2,Dipterocarp Forest Closed,Sinobong,Veruela_part_of Davao de Oro,AGUSAN DEL SUR
2,259C2,Dipterocarp Forest Closed,Sinobong,Veruela_part_of Davao de Oro,AGUSAN DEL SUR
2,259D2,Dipterocarp Forest Closed,Sinobong,Veruela_part_of Davao de Oro,AGUSAN DEL SUR
2,260B2,Dipterocarp Forest Closed,Das-agan,SAN FRANCISCO,AGUSAN DEL SUR
2,260C2,Dipterocarp Forest Closed,Das-agan,SAN FRANCISCO,AGUSAN DEL SUR
2,260D2,Dipterocarp Forest Closed,Das-agan,SAN FRANCISCO,AGUSAN DEL SUR
